room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,reviewCount,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_SKI,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_GYM
29621634,0.0,quangninh,20,20.92761,106.99227,REGULAR,Căn hộ mini nhìn ra biển,private_room,0,2967060,6.0,1.0,1.0,1,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34426286,0.0,quangninh,18,20.958,106.99996,REGULAR,Ngân Homestay,entire_home,0,2843464,6.0,2.0,1.0,1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
34630144,0.0,quangninh,17,20.95435,107.08411,REGULAR,2 BR sang trọng - Trong lòng thành phố Hạ Long của tôi,private_room,0,2795884,4.0,2.0,2.0,1,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,4,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
30916273,0.0,quangninh,30,20.9577,107.00712,REGULAR,Căn hộ 3BR * view biển Halongbay *Gần Cruise nhất,entire_home,0,2832884,6.0,1.0,1.0,1,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30053125,0.0,quangninh,8,20.76919,107.07491,REGULAR,Nhà nổi Xinh (King Room),private_room,0,2967454,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31024690,0.0,quangninh,21,20.9589,107.00764,REGULAR,Hometel Green Bay Premium,entire_home,0,2852943,6.0,2.0,1.0,1,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
43962660,0.0,quangninh,19,20.95225,107.02504,REGULAR,"Homestay New Life Tower 3PN Bãi Cháy, Hạ Long",entire_home,0,2852943,8.0,2.0,1.0,1,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
833951789430595919,0.0,quangninh,28,20.95098,107.07476,REGULAR,Căn hộ 3 phòng ngủ 1812,entire_home,0,2852943,8.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
682809691792894964,0.0,quangninh,27,20.73209,107.04983,REGULAR,CATBA CENTRAL HOMESTAY,private_room,0,2852943,5.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
29449274,0.0,quangninh,5,20.95535,107.00498,REGULAR,Lavender House-HO45,private_room,0,2892884,12.0,2.0,1.0,1,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
32294437,0.0,quangninh,19,20.95847,107.00598,REGULAR,GREEN BAY PREMIUM HALONGBAY,entire_home,0,2852943,6.0,2.0,1.0,1,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29003889,4.59,quangninh,18,20.95826,107.00442,REGULAR,Seaview-Free Scooters-Tự nhận phòng ở tầng 15,entire_home,0,3000000,4.0,1.0,1.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,39,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
38899240,0.0,quangninh,7,20.84511,106.69922,REGULAR,VSM Housing Service / 2BRs,entire_home,0,2886513,5.0,2.0,1.0,1,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
38351363,0.0,quangninh,16,20.83228,106.67163,REGULAR,(DANGXD) Tòa nhà mới trong thị trấn - Khu phức hợp HH,private_room,0,2913509,4.0,2.0,1.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
